Date	Active	Recovered	Total
9/9/20	2	7	9
9/11/20	2	8	10
9/17/20	4	9	13
9/19/20	5	10	15
9/22/20	8	12	19
9/24/20	15	11	26
9/27/20	12	16	28
9/29/20	16	16	32
10/1/20	13	22	35
10/3/20	9	29	38
10/5/20	7	31	38
10/6/20	6	32	38
10/7/20	7	33	40
10/8/20	4	36	40
10/10/20	2	39	41
10/13/20	4	39	43
10/14/20	4	40	44
10/15/20	4	40	44
10/17/20	3	41	44
10/18/20	2	42	44
10/19/20	3	42	45
10/20/20	4	42	46
10/21/20	4	43	47
10/23/20	12	43	55
10/23/20	13	43	56
10/24/20	15	43	58
10/25/20	16	44	60
10/26/20	17	46	63
10/27/20	18	47	65
10/28/20	23	48	71
10/29/20	22	52	74
10/30/20	27	52	79
10/31/20	27	61	88
11/1/20	29	63	92
11/2/20	37	64	101
11/3/20	34	69	103
